tick,angle,x,y,vx,vy,horizontal_bps,vertical_bps
58,-90.0,120.17687748128658,-90.03381836014995,2.4085655694349475,-1.4816925535977625,48.17131138869895,-29.63385107195525
59,0.0,122.69515822581153,-91.35831121820144,2.518280744524943,-1.3244928580514879,50.36561489049886,-26.489857161029757
60,-90.0,125.18825618690741,-92.73471424588047,2.49309796109589,-1.3764030276790336,49.8619592219178,-27.528060553580673
61,-90.0,127.65642319216838,-94.1619892407846,2.468167005260966,-1.4272749949041361,49.36334010521932,-28.545499898082724
62,-90.0,130.09990855091502,-95.63911876453965,2.4434853587466314,-1.4771295237550426,48.86970717493263,-29.54259047510085
63,0.0,132.65235332122865,-96.95958703019153,2.5524447703136284,-1.3204682656518791,51.048895406272564,-26.409365313037583
64,-90.0,135.17927366818114,-98.33204595724219,2.5269203469525023,-1.372458927050654,50.53840693905005,-27.44917854101308
65,-90.0,137.6809248357627,-99.75545573345528,2.5016511675815676,-1.4234097762130964,50.03302335163135,-28.46819552426193
66,-90.0,140.15755951552606,-101.22879734281938,2.4766346797633565,-1.4733416093641003,49.53269359526713,-29.466832187282005
67,0.0,142.7424846107869,-102.54592466791343,2.5849250952608385,-1.317127325094044,51.69850190521677,-26.342546501880882
68,-90.0,145.3015604797469,-103.91510947315368,2.559075868959997,-1.3691848052402522,51.18151737919994,-27.383696104805043
69,-90.0,147.83504561442257,-105.33531060993013,2.533485134675646,-1.4202011367764538,50.66970269351292,-28.404022735529075
70,-90.0,150.34319592191267,-106.80550775258513,2.5081503074900864,-1.4701971426549907,50.16300614980173,-29.403942853099814
71,-90.0,152.82626475024745,-108.32470098195468,2.483068828334771,-1.519193229369555,49.66137656669542,-30.3838645873911
72,0.0,155.4216450320372,-109.68226943668063,2.59538028178974,-1.3575684547259503,51.9076056357948,-27.151369094519005
73,-90.0,157.9910715357605,-111.0910865497315,2.5694265037233177,-1.4088171130508738,51.38853007446635,-28.176342261017474
74,-90.0,160.53480379895055,-112.5501273489183,2.543732263190045,-1.4590407991867893,50.8746452638009,-29.180815983735787
75,-90.0,163.05309876376762,-114.05838736147622,2.518294964817066,-1.5082600125579273,50.36589929634132,-30.165200251158545
76,0.0,165.68237877138347,-115.40631271878664,2.6292800076158547,-1.3479253573104137,52.58560015231709,-26.958507146208277
77,-90.0,168.28536600399792,-116.80567959618635,2.6029872326144643,-1.3993668773997203,52.05974465228928,-27.987337547994407
78,-90.0,170.86232338911026,-118.25545916425476,2.5769573851123404,-1.4497795680684098,51.53914770224681,-28.995591361368195
79,-90.0,173.41351122494726,-119.75464317014003,2.551187835836998,-1.4991840058852715,51.02375671673996,-29.98368011770543
80,0.0,176.07454650298422,-121.09456348940935,2.6610352780369544,-1.3399203192693312,53.22070556073909,-26.798406385386624
81,-90.0,178.7089714536184,-122.48608542937613,2.634424950634195,-1.3915219399667755,52.6884990126839,-27.83043879933551
82,-90.0,181.3170521798701,-123.92817695861062,2.6080807262516874,-1.4420915292344938,52.16161452503375,-28.841830584689877
83,-90.0,183.89905212373188,-125.41982668629201,2.5819999438617667,-1.491649727681396,51.639998877235335,-29.83299455362792
84,0.0,186.58992008481277,-126.7531017720562,2.690867961080891,-1.3332750857641786,53.81735922161782,-26.665501715283572
85,-90.0,189.25387939194496,-128.1381113830612,2.663959307132199,-1.385009611004978,53.27918614264398,-27.700192220099563
