tick,pitchDeg_internal,angleDeg_pass_to_stepElytra2D
216,-21.560533725966167,21.560533725966167
217,-21.127335269463799,21.127335269463799
218,-20.702340140489909,20.702340140489909
219,-20.284985015406662,20.284985015406662
220,-19.874740956287752,19.874740956287752
221,-19.471063673728665,19.471063673728665
222,-19.073389692822133,19.073389692822133
223,-18.681168457545994,18.681168457545994
224,-18.293834014572568,18.293834014572568
225,-17.910782740574419,17.910782740574419
226,-17.531393407814932,17.531393407814932
227,-17.155015385688884,17.155015385688884
228,-16.78094539635741,16.78094539635741
229,-16.408419857356733,16.408419857356733
230,-16.036622210065076,16.036622210065076
231,-15.664622835505213,15.664622835505213
232,-15.29140699070156,15.29140699070156
233,-14.915840569086797,14.915840569086797
234,-14.536583119480412,14.536583119480412
235,-14.152142893913592,14.152142893913592
236,-13.760712376068795,13.760712376068795
237,-13.36021241331008,13.36021241331008
238,-12.948069201015755,12.948069201015755
239,-12.52121275501942,12.52121275501942
240,-12.075910601290502,12.075910601290502
241,-11.607439966964776,11.607439966964776
242,-11.109779388491546,11.109779388491546
243,-10.575207989738828,10.575207989738828
244,-9.9935263505083327,9.9935263505083327
245,-9.3509867788780952,9.3509867788780952
246,-8.6286246119909578,8.6286246119909578
247,-7.7994382860624967,7.7994382860624967
248,-6.8236962933761447,6.8236962933761447
249,-5.6397681893207618,5.6397681893207618
250,-4.1490857752936137,4.1490857752936137
251,-2.1775910478320952,2.1775910478320952
252,0,-0
253,0,-0
254,0,-0
