tick,angle
256,-51.556294651566269
257,-51.531623838354648
258,-51.506978348731934
259,-51.482389043464437
260,-51.457882182523981
261,-51.433483752972336
262,-51.409219148418082
263,-51.385113728987285
264,-51.361194380167291
265,-51.337489402887755
266,-51.314026058176971
267,-51.290826606401296
268,-51.267911963013276
269,-51.245306670736298
270,-51.223040211158235
271,-51.201142828013495
272,-51.179647697224226
273,-51.158589222150155
274,-51.137994205619435
275,-51.11787408393085
276,-51.098239201378306
277,-51.079108868243821
278,-51.060508243610975
279,-51.042459590947615
280,-51.02497598388031
281,-51.008068420990114
282,-50.991741084565014
283,-50.975991617966528
284,-50.96081651069079
285,-50.946208021096183
286,-50.932157038060758
287,-50.918649102182286
288,-50.905662222993179
289,-50.893171857415453
290,-50.881138603345093
291,-50.869516327438269
292,-50.858258910078568
293,-50.84732033011209
294,-50.836653554169601
295,-50.826198872831128
296,-50.815888018771759
297,-50.805649405344752
298,-50.795401386963754
299,-50.785059202857795
300,-50.774512774886574
301,-50.763626917004984
302,-50.75226787564992
303,-50.740314282644363
304,-50.72764817131236
305,-50.714130390033041
306,-50.699590928763257
307,-50.683856181399797
308,-50.666743496084187
309,-50.648065919801027
310,-50.62762622357053
311,-50.60520494885467
312,-50.580578646011872
313,-50.553509846819409
314,-50.523751293220087
315,-50.491049511250452
316,-50.455131133471681
317,-50.415718119411224
318,-50.372518794165067
319,-50.325227504295768
320,-50.273534339520083
321,-50.217110800705875
322,-50.155622260061186
323,-50.088724027917564
324,-50.0160562580933
325,-49.937256008340853
326,-49.851945366353235
327,-49.759739112711692
328,-49.660246105428769
329,-49.553062002721127
330,-49.437779976416749
331,-49.313983860717784
332,-49.181250745912365
333,-49.039155280363453
334,-48.887264239725809
335,-48.72514259829326
336,-48.552352448617995
337,-48.368452828926685
338,-48.173002686693465
339,-47.965561270181084
340,-47.74568797447656
341,-47.512945052760976
342,-47.266899213358521
343,-47.007118697063348
344,-46.733181460827524
345,-46.444670381348743
346,-46.141174954902482
347,-45.822300008813237
348,-45.487653817789621
349,-45.136862810872906
350,-44.769566977020972
351,-44.385414417133191
352,-43.984081008862177
353,-43.565249680212865
354,-43.128626788681864
355,-42.673944364137256
356,-42.200942726770464
357,-41.709400926530478
358,-41.199111728907766
359,-40.669892152461841
360,-40.121598313404768
361,-39.554094965719194
362,-38.967291876501449
363,-38.361122362301273
364,-37.735540781120882
365,-37.090551807400445
366,-36.426170524654381
367,-35.742456619807569
368,-35.039504231078865
369,-34.317423354879907
370,-33.57637944712166
371,-32.816552097019937
372,-32.038158424904218
373,-31.241458066727635
374,-30.426721944683365
375,-29.594272871271176
376,-28.744452581213313
377,-27.877629116191908
378,-26.994214387107569
379,-26.09462885011062
380,-25.179333400050602
381,-24.248810814693286
