tick,angle,x,y,vx,vy,horizontal_bps,vertical_bps
393,-60.21160678527799,1125.0805790212028,-568.6321037967192,3.2063083435846593,-1.425717169464116,64.12616687169319,-28.51434338928232
394,-60.23555698695295,1128.2875688991767,-570.0571974689494,3.206989877973996,-1.42509367223023,64.13979755947992,-28.501873444604602
395,-60.26954860996254,1131.4951546380476,-571.4817959936507,3.2075857388708817,-1.4245985247012873,64.15171477741764,-28.491970494025747
396,-60.31209782921433,1134.7032326352182,-572.906055499484,3.2080779971705744,-1.4242595058332148,64.16155994341149,-28.485190116664295
397,-60.362804680666464,1137.9116930268972,-574.330141830688,3.208460391678867,-1.4240863312040872,64.16920783357735,-28.481726624081745
398,-60.41759007512976,1141.1204199695155,-575.7542300972127,3.208726942618273,-1.4240882665246353,64.17453885236546,-28.481765330492706
399,-60.477404606260244,1144.3292919082137,-577.1785042405934,3.208871938698277,-1.4242741433806498,64.17743877396555,-28.485482867612998
400,-60.53953511693787,1147.5381926051032,-578.6031399475953,3.2089006968893736,-1.4246357070019031,64.17801393778747,-28.49271414003806
401,-60.60239976658711,1150.7470000941942,-580.0283217215739,3.208807489090896,-1.425181773978591,64.17614978181791,-28.50363547957182
402,-60.66087024190954,1153.9556192212947,-581.4541925182976,3.2086191271005284,-1.4258707967237945,64.17238254201057,-28.51741593447589
403,-60.715145417876236,1157.1639588747964,-582.8808889767942,3.20833965350183,-1.426696458496525,64.1667930700366,-28.5339291699305
404,-60.76213199642079,1160.3719425398917,-584.3085250886262,3.2079836650952998,-1.4276361118320178,64.159673301906,-28.552722236640356
405,-60.80036059705383,1163.579518389869,-585.737176606135,3.207575849977343,-1.4286515175087957,64.15151699954686,-28.573030350175912
406,-60.82534915044285,1166.7866689744021,-587.1668661009215,3.207150584533185,-1.429689494786566,64.1430116906637,-28.59378989573132
407,-60.838525396678705,1169.993388219557,-588.5975985673182,3.2067192451546638,-1.4307324663966172,64.13438490309328,-28.614649327932344
408,-60.838525396678705,1173.1997025056207,-590.0293288748011,3.206314286063922,-1.4317303074828471,64.12628572127845,-28.634606149656943
409,-60.82534915044285,1176.4056693491953,-591.4619638630784,3.205966843574411,-1.4326349882773002,64.11933687148822,-28.652699765546004
410,-60.79923520087036,1179.6113545651488,-592.8953976702655,3.2056852159535003,-1.4334338071871056,64.11370431907001,-28.66867614374211
411,-60.76141695054371,1182.816853570251,-594.3294788434912,3.205499005102263,-1.4340811732256624,64.10998010204526,-28.681623464513248
412,-60.714023467225985,1186.0222793904748,-595.7640288944821,3.2054258202237103,-1.4345500509908293,64.1085164044742,-28.691001019816586
413,-60.65913921901892,1189.2277511286165,-597.1988601157757,3.2054717381419033,-1.4348312212936345,64.10943476283806,-28.69662442587269
