tick,angle,x,y,vx,vy,min_y
88,-30.472637731215677,41.925624358694876,-15.792712058596173,0.99267739317048576,-0.30625785349119189,-15.792712058596173
89,-30.749384212253698,42.930879317726848,-16.103059762078182,1.0052549590319761,-0.31034770348200985,-16.103059762078182
90,-31.01653015111528,43.948743888186506,-16.417485285662078,1.0178645704596605,-0.31442552358389669,-16.417485285662078
91,-31.27371350495029,44.979249900540303,-16.735967930751393,1.0305060123537988,-0.31848264508931562,-16.735967930751393
92,-31.520576254342174,46.022428677082765,-17.058478677424095,1.0431787765424596,-0.32251074667270319,-17.058478677424095
93,-31.756767197180341,47.078310781331481,-17.384980474371737,1.0558821042487163,-0.32650179694764236,-17.384980474371737
94,-31.981945285593905,48.146925790584589,-17.715428521348603,1.0686150092531099,-0.33044804697686503,-17.715428521348603
95,-32.195783610719225,49.228302098862343,-18.049770515054384,1.0813763082777514,-0.33434199370578271,-18.049770515054384
96,-32.397974161713186,50.322469276068247,-18.387939002324607,1.0941671772059038,-0.33816848727022242,-18.387939002324607
97,-32.588233513068033,51.429452342255068,-18.729868040519726,1.106983066186821,-0.34192903819511694,-18.729868040519726
98,-32.766309630093382,52.549277321175822,-19.075476787576882,1.1198249789207502,-0.34560874705715711,-19.075476787576882
99,-32.931990025124925,53.681965372852154,-19.424686395744811,1.1326880516763291,-0.34920960816792718,-19.424686395744811
100,-33.085111552888293,54.827541223207277,-19.777395234495856,1.1455758503551223,-0.3527088387510442,-19.777395234495856
101,-33.225572203995441,55.986023998700155,-20.133504745662467,1.158482775492881,-0.3561095111666126,-20.133504745662467
102,-33.353345345702394,57.157433169125632,-20.492902512066674,1.1714091704254761,-0.35939776640420756,-20.492902512066674
103,-33.468496975768929,58.341785246185161,-20.855471251027016,1.1843520770595277,-0.36256873896034231,-20.855471251027016
104,-33.571206707476641,59.539093752623444,-21.221088936093405,1.1973085064382862,-0.36561768506638842,-21.221088936093405
105,-33.661793402557215,60.749372057697279,-21.589620545465504,1.2102783050738377,-0.36853160937209861,-21.589620545465504
106,-33.74074663341095,61.972627117450259,-21.960935558119154,1.2232550597529817,-0.37131501265365091,-21.960935558119154
107,-33.808765508427669,63.208865764417773,-22.334890575699646,1.2362386469675142,-0.37395501758049154,-22.334890575699646
108,-33.866806871044673,64.458088313239799,-22.711347009632792,1.249222548822027,-0.37645643393314748,-22.711347009632792
109,-33.916145534700462,65.720291990886238,-23.090162044149963,1.2622036776464447,-0.37881503451717063,-23.090162044149963
110,-33.958450116571399,66.995470874653734,-23.471188798456048,1.2751788837674896,-0.38102675430608618,-23.471188798456048
111,-33.995879295973864,68.283609827024748,-23.854293550802037,1.2881389523710167,-0.3831047523459909,-23.854293550802037
112,-34.031205119133865,69.584685417289862,-24.23935456297583,1.3010755902651192,-0.38506101217379374,-24.23935456297583
113,-34.067972568004755,70.898669797778297,-24.626252428822834,1.313984380488437,-0.38689786584700459,-24.626252428822834
114,-34.110708428747969,72.225521802958426,-25.01489557097598,1.326852005180132,-0.38864314215314688,-25.01489557097598
115,-34.165198223024433,73.565188701136464,-25.405217921613705,1.3396668981780315,-0.39032235063772275,-25.405217921613705
116,-34.238858746248297,74.917604697853861,-25.797185453223104,1.3524159967173914,-0.39196753160940001,-25.797185453223104
117,-34.341247553505312,76.28268356577415,-26.19081958368999,1.3650788679202914,-0.39363413046688744,-26.19081958368999
118,-34.484773018705155,77.660318751806386,-26.586201568121872,1.3776351860322431,-0.39538198443188188,-26.586201568121872
119,-34.6857057438691,79.050374118070067,-26.983503018463782,1.3900553662636843,-0.39730145034191167,-26.983503018463782
120,-34.965656318376581,80.452679176447617,-27.383006016398241,1.4023050583775485,-0.39950299793445887,-27.383006016398241
121,-35.353800249071639,81.867018367270362,-27.785140435616636,1.4143391908227476,-0.40213441921839438,-27.785140435616636
122,-35.890350434470648,83.293108029076805,-28.190556369609265,1.4260896618064465,-0.40541593399262721,-28.190556369609265
123,-36.632219425311604,84.730574480933015,-28.600195819290793,1.4374664518562037,-0.40963944968152938,-28.600195819290793
124,-37.662770651805324,86.178907257079729,-29.015430815248429,1.4483327761467106,-0.41523499595763491,-29.015430815248429
125,-39.109830464106494,87.637388412667434,-29.438262698329748,1.4584811555876986,-0.42283188308131836,-29.438262698329748
126,-41.182220432891519,89.104950806386199,-29.871695991814686,1.467562393718769,-0.43343329348493848,-29.871695991814686
127,-44.254309777801019,90.579900357036607,-30.3204274628641,1.4749495506504042,-0.44873147104941313,-30.3204274628641
128,-49.105993352545156,92.059310857059643,-30.792251732862194,1.4794105000230402,-0.47182426999809451,-30.792251732862194
129,0,93.567748809070181,-31.226040747443236,1.5084379520105342,-0.43378901458104252,-31.226040747443236
130,0,95.101534997534856,-31.62628266609352,1.5337861884646753,-0.40024191865028425,-31.62628266609352
131,0,96.657426894054652,-31.996936045557,1.5558918965197903,-0.37065337946348137,-31.996936045557
132,0,98.232567102892887,-32.341492332949798,1.5751402088382305,-0.34455628739280025,-32.341492332949798
133,0,99.824437890184043,-32.66303098468827,1.5918707872911555,-0.32153865173847324,-32.66303098468827
134,0,101.43082107894659,-32.964268081384503,1.6063831887625497,-0.30123709669623294,-32.964268081384503
135,0,103.04976267673254,-33.247599206184979,1.6189415977859425,-0.28333112480047767,-33.247599206184979
136,0,104.67954167746012,-33.515137263466023,1.629779000727587,-0.26753805728104518,-33.515137263466023
137,0,106.31864254487375,-33.76874583492382,1.639100867413632,-0.25360857145779975,-33.76874583492382
138,0,107.96573094319666,-34.010068599646402,1.6470883983229099,-0.2413227647225818,-34.010068599646402
139,0,109.61963233180528,-34.24055528261762,1.6539013886086169,-0.23048668297121971,-34.24055528261762
140,0,111.27931308596837,-34.461484541298127,1.6596807541630936,-0.22092925868050467,-34.461484541298127
141,0,112.94386384557301,-34.673984151590155,1.6645507596046358,-0.21249961029202996,-34.673984151590155
142,0,114.61248482893257,-34.879048811858844,1.6686209833595584,-0.20506466026869075,-34.879048811858844
143,12.000390571032568,116.27146539648668,-35.037301330075579,1.6589805675541127,-0.15825251821673617,-35.037301330075579
144,24.000781142065136,117.90379988039525,-35.121688824613173,1.6323344839085807,-0.084387494537590951,-35.121688824613173
145,36.001171713097705,119.4929146446806,-35.115935289470542,1.5891147642853469,0.0057535351426276351,-35.121688824613173
146,48.001562284130273,121.02594005598131,-35.012160223582583,1.5330254113007069,0.10377506588795943,-35.121688824613173
147,60.001952855162841,122.49631730320051,-34.807625065378751,1.4703772472192083,0.20453515820383564,-35.121688824613173
148,60.001952855042624,123.90660654772488,-34.511150875183304,1.4102892445243707,0.29647419019544963,-35.121688824613173
149,57.375279618680253,125.26046287088407,-34.132929236373243,1.3538563231591942,0.37822163881006188,-35.121688824613173
150,55.071192513371471,126.5612220905923,-33.682167289590588,1.3007592197082325,0.45076194678265241,-35.121688824613173
151,53.012064122333449,127.81194534197418,-33.167212012368608,1.2507232513818838,0.51495527722197709,-35.121688824613173
152,51.146850320915085,129.01544770194963,-32.595636110930378,1.203502359975452,0.57157590143822801,-35.121688824613173
153,49.439880339400545,130.17432902074486,-31.97434296774443,1.1588813187952272,0.62129314318594753,-35.121688824613173
154,47.865076310415553,131.2909944595313,-31.309617164255691,1.1166654387864408,0.66472580348874055,-35.121688824613173
155,46.402697706520335,132.3676723306975,-30.607189150952159,1.0766778711662064,0.70242801330353022,-35.121688824613173
156,45.037381096420475,133.40643416145906,-29.872293459577399,1.0387618307615611,0.73489569137476007,-35.121688824613173
157,43.756896179562105,134.40920612908081,-29.109711278040297,1.0027719676217486,0.76258218153710244,-35.121688824613173
158,42.551322122773492,135.37778260134542,-28.323813207824436,0.96857647226460653,0.78589807021586189,-35.121688824613173
159,41.412482723482903,136.31384141258289,-27.518601376230642,0.93605881123748513,0.80521183159379295,-35.121688824613173
160,40.333547472018289,137.2189483235403,-26.697735046450219,0.90510691095742246,0.8208663297804214,-35.121688824613173
161,39.308742609566011,138.09457100337173,-25.86456661647091,0.87562267983142639,0.83316842997930862,-35.121688824613173
162,38.333137259700223,138.94208252648241,-25.022162453965937,0.847511523110696,0.8424041625049743,-35.121688824613173
163,37.402482100567759,139.76277402973093,-24.173333420044713,0.82069150324853846,0.84882903392122211,-35.121688824613173
164,36.513085622757842,140.55785502880596,-23.32064902117077,0.79508099907502416,0.85268439887394332,-35.121688824613173
165,35.661717802621425,141.32846501785539,-22.466463710660467,0.77060998904941946,0.85418531051030289,-35.121688824613173
166,34.845534118768377,142.07567755243301,-21.612932909991368,0.74721253457761327,0.85353080066909681,-35.121688824613173
167,34.062014900617186,142.80050410192953,-20.762027898362653,0.72482654949651304,0.85090501162871579,-35.121688824613173
168,33.308916390554508,143.50389768199648,-19.915549667577157,0.70339358006695585,0.84647823078549689,-35.121688824613173
169,32.58423087269307,144.18675830518086,-19.075143808545338,0.68286062318437768,0.84040585903181875,-35.121688824613173
170,31.886153896703512,144.84993601821552,-18.242312005860473,0.663177713034654,0.83283180268486512,-35.121688824613173
171,31.213057114607391,145.49423376359186,-17.418422720825692,0.64429774537633788,0.82388928503478109,-35.121688824613173
172,30.56346559949916,146.12041386425744,-16.604724595184742,0.62618010066557017,0.81369812564094957,-35.121688824613173
173,29.936038775740446,146.72919650121037,-15.802351567924642,0.60878263695291435,0.8023730272600994,-35.121688824613173
174,29.329554281861299,147.3212639334341,-15.012333078334313,0.59206743222371783,0.79001848959032961,-35.121688824613173
175,28.74289423440155,147.89726436971694,-14.235603209087337,0.57600043628283881,0.77672986924697596,-35.121688824613173
176,28.175033471357374,148.45781204757552,-13.47300602911937,0.56054767785857473,0.76259717996796639,-35.121688824613173
177,27.625029436073739,149.0034924980996,-12.725304925804172,0.54568045052409131,0.74770110331519823,-35.121688824613173
178,27.092013432225059,149.53486067999228,-11.993185584842561,0.53136818189267476,0.73211934096161091,-35.121688824613173
179,26.575183029098824,150.05244427948011,-11.277263000864009,0.51758359948782795,0.71592258397855224,-35.121688824613173
